typical_day_id,hour,weight_days,electric_load_kw,heat_load_kw,hydrogen_load_kg,grid_buy_kw,pv_used_kw,pv_curtail_kw,wind_used_kw,wind_curtail_kw,heat_pump_power_kw,heat_pump_heat_kw,gas_boiler_heat_kw,gas_consumption_m3,battery_charge_kw,battery_discharge_kw,battery_soc_kwh,electrolyzer_power_kw,h2_production_kg,h2_charge_kg,h2_discharge_kg,h2_storage_kg,h2_external_supply_kg,h2_fuel_cell_kg,fuel_cell_power_kw,carbon_emission_kg
TD_TRANSITION,9,125,8100.0,5400.0,55.0,0.0,4353.529741520203,0.0,7009.809305507477,0.0,1800.0,5400.0,0.0,-0.0,0.0,0.0,534.9983748372142,1463.33904702768,28.14113551976308,0.0,26.85886448023692,193.55374784424728,0.0,-0.0,-0.0,-0.0
TD_TRANSITION,10,125,8300.0,4680.0,45.0,0.0,5108.141563383705,0.0,6571.696223913259,0.0,1560.0,4680.0,0.0,-0.0,0.0,0.0,534.9983748372142,1819.837787296964,34.996880524941616,0.0,10.003119475058384,183.5506283691889,0.0,-0.0,-0.0,-0.0
TD_TRANSITION,11,125,8200.0,4320.0,35.0,0.0,5514.47100592559,0.0,6133.583142319043,0.0,1440.0,4320.0,0.0,-0.0,0.0,0.0,534.9983748372142,2008.0541482446333,38.616425927781414,3.616425927781414,0.0,187.16705429697032,0.0,-0.0,-0.0,-0.0
TD_TRANSITION,12,125,8000.0,4140.0,30.0,0.0,2808.303776086741,2415.9319137375032,6571.696223913259,0.0,1380.0,4140.0,0.0,-0.0,0.0,0.0,534.9983748372142,0.0,-0.0,0.0,30.0,157.16705429697032,0.0,-0.0,-0.0,-0.0
TD_TRANSITION,13,125,7900.0,4140.0,30.0,0.0,4527.670931181011,0.0,7447.922387101695,0.0,1380.0,4140.0,0.0,-0.0,0.0,0.0,534.9983748372142,2695.5933182827057,51.83833304389819,21.83833304389819,0.0,179.0053873408685,0.0,-0.0,-0.0,-0.0
TD_TRANSITION,14,125,8000.0,4320.0,35.0,0.0,3366.7296667756236,0.0,8324.148550290129,0.0,1440.0,4320.0,0.0,-0.0,0.0,0.0,534.9983748372142,2250.8782170657523,43.28611955895678,8.286119558956777,0.0,187.2915068998253,0.0,-0.0,-0.0,-0.0
TD_TRANSITION,15,125,8300.0,4680.0,40.0,0.0,2031.647212709428,0.0,9200.374713478563,0.0,1560.0,4680.0,0.0,-0.0,0.0,0.0,534.9983748372142,1372.0219261879906,26.385037042076743,0.0,13.614962957923257,173.67654394190203,0.0,-0.0,-0.0,-0.0
TD_TRANSITION,16,125,8600.0,5130.0,50.0,0.0,696.5647586432325,0.0,9638.48779507278,0.0,1710.0,5130.0,0.0,-0.0,0.0,0.0,534.9983748372142,25.052553716012994,0.4817798791540961,0.0,49.5182201208459,124.15832382105611,0.0,-0.0,-0.0,-0.0
TD_TRANSITION,17,125,9000.0,5760.0,60.0,0.0,116.09412644053874,0.0,10295.657417464106,0.0,1920.0,5760.0,0.0,-0.0,0.0,508.2484560953535,0.0,0.0,-0.0,0.0,60.0,64.15832382105611,0.0,-0.0,-0.0,-0.0
TD_TRANSITION,18,125,8800.0,6300.0,50.0,0.0,0.0,-0.0,10952.827039855432,0.0,2100.0,6300.0,0.0,-0.0,0.0,0.0,-0.0,52.827039855432304,1.0159046126044675,0.0,48.984095387395534,15.174228433660574,0.0,-0.0,-0.0,-0.0
TD_TRANSITION,19,125,8200.0,6480.0,35.0,0.0,0.0,-0.0,11390.94012144965,0.0,2160.0,6480.0,0.0,-0.0,0.0,0.0,-0.0,1030.9401214496502,19.825771566339426,0.0,15.174228433660574,0.0,0.0,-0.0,-0.0,-0.0
TD_TRANSITION,20,125,7400.0,6300.0,25.0,0.0,0.0,-0.0,12048.109743840976,0.0,2100.0,6300.0,0.0,-0.0,-0.0,0.0,0.0,2548.109743840976,49.00211045848031,24.00211045848031,0.0,24.00211045848031,0.0,-0.0,-0.0,-0.0
TD_TRANSITION,21,125,6500.0,6120.0,20.0,0.0,0.0,-0.0,10724.053203043879,1104.999999999989,2040.0,6120.0,0.0,-0.0,-0.0,0.0,0.0,2184.0532030438785,42.00102313545921,22.001023135459207,0.0,46.003133593939516,0.0,-0.0,-0.0,-0.0
TD_TRANSITION,22,125,5800.0,5850.0,15.0,0.0,0.0,-0.0,10952.827039855432,0.0,1950.0,5850.0,0.0,-0.0,486.0433986956803,0.0,461.74122876089626,2716.7836411597527,52.24583925307217,37.24583925307217,0.0,83.24897284701169,0.0,-0.0,-0.0,-0.0
TD_TRANSITION,23,125,5400.0,5670.0,15.0,0.0,0.0,-0.0,10076.600876666998,0.0,1890.0,5670.0,0.0,-0.0,0.0,0.0,461.74122876089626,2786.6008766669984,53.58847839744228,38.58847839744228,0.0,121.83745124445397,0.0,-0.0,-0.0,-0.0
